,id,title,labels,scores,status
3563,BCir2oVTVj,Symmetric Sinkhorn Diffusion Operators,3D scenes,"[4,6,6,6]",Reject
15710,mq43BAAos0,DiffuPhyGS: Text-to-Video Generation with 3D Gaussians and Learnable Physical Properties via Diffusion Priors,3D scenes,"[2,2,2,4]",Withdraw
2483,7m2Dqz9g05,SSD-GS: Scattering and Shadow Decomposition for Relightable 3D Gaussian Splatting,3D scenes,"[4,4,4,6]",Poster
18864,wyauZpoqRK,GENIE: Gaussian Encoding for Neural Radiance Field Interactive Editing,3D scenes,"[2,4,4,4]",Withdraw
11818,asl8NJlIMe,FastVGGT: Fast Visual Geometry Transformer,3D scenes,"[2,4,4,6]",Poster
13263,fIPng6j4eM,Scaling Sequence-to-Sequence Generative Neural Rendering,3D scenes,"[2,4,6,6]",Poster
13535,gHEm8A4zsJ,GAT++: Adaptive Relation-Aware Graph Attention Networks,3D scenes,"[2,2,4]",Reject
7415,NHuyk9KsG6,Horseshoe Splatting: Handling Structural Sparsity for Uncertainty-Aware Gaussian-Splatting Radiance Field Rendering,3D scenes,"[4,6,6,6]",Poster
2490,7n0at94O2H,HSImul3R: Reconstructing Simulation-Ready Human-Scene-Interaction from Sparse Views,3D scenes,"[2,4,4,4]",Withdraw
6901,LafrTql67m,GSCV: Compressing Gaussian Splatting Sequence with Video Codec,3D scenes,"[2,4,4,6]",Reject
15471,m6W5SfQXrT,High-Fidelity and Generalizable Neural Surface Reconstruction with Sparse Scene Representations,3D scenes,"[2,4,4]",Withdraw
18414,vae4UOVbvA,End-to-End Unified Dense 3D Geometry and Motion Perception,3D scenes,"[2,2,2,4]",Withdraw
16423,pDu6u9cnEB,Omni-View: Unlocking How Generation Facilitates Understanding in Unified 3D Model based on Multiview images,3D scenes,"[4,6,6,8]",Poster
8635,QxvDyJP7g9,ARTDECO: Toward High-Fidelity On-the-Fly Reconstruction with Hierarchical Gaussian Structure and Feed-Forward Guidance,3D scenes,"[4,6,6,6]",Poster
18103,uZH0kBz5fk,AHA! Animating Human Avatars in Diverse Scenes with Gaussian Splatting,3D scenes,"[4,4,4,6]",Reject
11914,bAG7lS1AUL,Fused-Planes: Why Train a Thousand Tri-Planes When You Can Share?,3D scenes,"[2,6,6,6]",Poster
1368,4JJnzhwa04,Beyond Static Snapshots: Physically-Based Deformable and Relightable 2D Gaussians,3D scenes,"[4,4,4,4]",Reject
10808,XlRbpFj3lJ,ODE-GS: Latent ODEs for Dynamic Scene Extrapolation with 3D Gaussian Splatting,3D scenes,"[4,4,6,8]",Poster
8735,RExGGPD5tw,"Less Gaussians, Texture More: 4K Feed-Forward Textured Splatting",3D scenes,"[2,4,6,8]",Poster
11148,Yp6P3a4nSY,RefRef: A Dataset and Benchmark for Reconstructing Refractive and Reflective Objects,3D scenes,"[2,4,4,6]",Withdraw
18469,vjvwYexMQn,Aligned Novel View Image and Geometry Synthesis via Cross-modal Attention Instillation,3D scenes,"[4,4,6,6]",Poster
14300,iajaxDd9BO,ReSplat: Learning Recurrent Gaussian Splats,3D scenes,"[4,4,6]",Reject
253,0izu8IWJ5z,Neural Gaussian Radio Fields for Channel Estimation,3D scenes,"[4,4,4,4]",Reject
9182,SdLqXlO2Ur,Factorized Gaussian Splatting for View-Inconsistent Degradations,3D scenes,"[2,4,4,4]",Withdraw
8172,PZQHihJlfm,Next-Scale Autoregressive Models are Zero-Shot Single-Image Object View Synthesizers,3D scenes,"[2,4,6,8]",Reject
5340,GoowzgMiOp,Seeing Beyond Points: Adaptive Gaussian Primitives for 3D Perception,3D scenes,"[4,4,4,6]",Withdraw
18251,v3ejhJxT1W,Splat the Net: Radiance Fields with Splattable Neural Primitives,3D scenes,"[4,6,6,8]",Poster
9363,TAjEC2tHpa,EX-NVS: EXtreme Novel View Synthesis via Depth Watertight Mesh,3D scenes,"[4,4,4,6]",Withdraw
2725,8YQbVMWhRJ,HUG3D: Human Group-Aware 3D Reconstruction from a Single Image with Physical Interaction,3D scenes,"[4,4,6,6]",Withdraw
15609,mVo6cyFR6C,WorldTree: Towards 4D Dynamic Worlds from Monocular Video using Tree-Chains,3D scenes,"[4,6,6,6]",Poster
9840,UZHHx6gCkI,A Generalizable CNN Enhancement for Robust Mammogram Classification,CNNs,"[0,0,0,0]",Desk Reject
17357,s9cAknJjRB,MindX: A Low-Cost Benchmark System for Real-Time Brain-Controlled Gaming,CNNs,"[0,0,2,4]",Desk Reject
10737,XXSPoq3uik,Beyond Masking and Avoidance: Toward True Unlearning,CNNs,"[0,2,2,2,4]",Desk Reject
9061,SF8NYACPfb,Learning Convolutional Representations via Generalized Stein’s Method: A Training-Free Approach,CNNs,"[2,2,2,4]",Withdraw
7676,O6C9jCQuoA,Neural Darwinism: A Theoretical Framework for Representation Evolution in Convolutional Neural Networks,CNNs,"[2,4,6]",Withdraw
118,0NZW7VlySR,A biologically-inspired foveated interface for deep vision models,CNNs,"[2,2,4,6]",Reject
13499,g9FDTZJEdJ,Scalable GANs with Transformers,GANs,"[4,4,4,6]",Reject
5472,HDBkBANWNb,An Interpretable Contrastive GAN Approach for Identifying Heterogeneous Pathological Imaging Patterns,GANs,"[2,4,6]",Reject
18805,wkzi3ZHUWz,Discrepancy-aware Score Learningfor Diffusion Training,GANs,"[2,8,8]",Reject
1547,4srk2cxr30,Writing-RL: Advancing Long-form Writing via Adaptive Curriculum Reinforcement Learning,LLMs,"[4,4,4,4,6]",Withdraw
15315,lebJ6wz1vj,Learning to Reason over Continuous Tokens with Reinforcement Learning,LLMs,"[2,6,6,8]",Poster
8342,Q87kwGI6bx,AesCoder: Code Aesthetics with Agentic Reward Feedback,LLMs,"[4,4,6,6]",Poster
19246,yCTpYe3UOL,GPTailor: Large Language Model Pruning Through Layer Cutting and Stitching,LLMs,"[4,6,6,8]",Poster
8246,Pr8mLPImZS,Towards the Worst-case Robustness of Large Language Models,LLMs,"[2,2,2,4,6]",Reject
